Rank,Title,Score,Chapters/Volumes,Published
125,Umineko no Naku Koro ni Chiru - Episode 5: End of the Golden Witch,8.50,Manga (6 vols),Oct 2010 - Nov 2012
126,Steins;Gate,8.50,Light Novel (5 vols),Jun 2011 - May 2012
127,blanc,8.50,Manga (2 vols),Feb 2018 - Sep 2020
128,Kimi wa Houkago Insomnia,8.50,Manga (? vols),May 2019 -
129,Monogatari Series: Off Season,8.50,Light Novel (4 vols),Oct 2015 - Jan 2017
130,Monogatari Series: Monster Season,8.50,Light Novel (6 vols),Jul 2017 - Aug 2021
131,Hinamatsuri,8.49,Manga (19 vols),Jun 2010 - Jul 2020
132,No Game No Life,8.49,Light Novel (? vols),Apr 2012 -
133,Kimi no Suizou wo Tabetai,8.49,Manga (2 vols),Aug 2016 - May 2017
134,Bungou Stray Dogs,8.49,Manga (? vols),Dec 2012 -
135,Tensei shitara Slime Datta Ken,8.49,Light Novel (? vols),May 2014 -
136,Eyeshield 21,8.48,Manga (37 vols),Jul 2002 - Jun 2009
137,Ping Pong,8.48,Manga (5 vols),1996 - 1997
138,Kami nomi zo Shiru Sekai,8.48,Manga (26 vols),Apr 2008 - Apr 2014
139,Here U Are,8.48,Manhua (? vols),Nov 2017 - Dec 2020
140,Berserk: Shinen no Kami 2,8.48,One-shot (? vols),Jul 1996 - Jul 1996
141,Ao Ashi,8.48,Manga (? vols),Jan 2015 -
142,Cross Game,8.47,Manga (17 vols),Sep 2005 - Feb 2010
143,Glass no Kamen,8.47,Manga (49 vols),Jan 1976 - May 2012
144,Holyland,8.47,Manga (18 vols),Oct 2000 - May 2008
145,Fullmetal Alchemist,8.47,Light Novel (7 vols),Feb 2003 - Apr 2010
146,Kyou kara Ore wa!!,8.47,Manga (38 vols),1988 - Oct 1997
147,Umineko no Naku Koro ni,8.47,Light Novel (8 vols),Jul 2009 - Aug 2010
148,Who Made Me a Princess,8.47,Manhwa (? vols),Dec 2017 - Apr 2022
149,Ookami to Koushinryou,8.46,Manga (16 vols),Sep 2007 - Dec 2017
150,Gekkan Shoujo Nozaki-kun,8.46,Manga (? vols),Aug 2011 -
151,JoJo no Kimyou na Bouken Part 8: JoJolion,8.45,Manga (27 vols),May 2011 - Aug 2021
152,Tian Guan Ci Fu,8.45,Novel (6 vols),Feb 2021 - Mar 2022
153,Doraemon,8.45,Manga (45 vols),Dec 1969 - 1996
154,Rainbow: Nisha Rokubou no Shichinin,8.45,Manga (22 vols),Nov 2002 - Jan 2010
155,Tomodachi Game,8.45,Manga (? vols),Dec 2013 -
156,Horimiya,8.44,Manga (16 vols),Oct 2011 - Mar 2021
157,Yuukoku no Moriarty,8.44,Manga (? vols),Aug 2016 -
158,Kusuriya no Hitorigoto,8.44,Manga (? vols),May 2017 -
159,Barakamon,8.44,Manga (18 vols),Feb 2008 - Jan 2019
160,Blade of the Immortal,8.43,Manga (30 vols),Jun 1993 - Dec 2012
161,The Breaker,8.43,Manhwa (10 vols),Jun 2007 - Jul 2010
162,Billy Bat,8.43,Manga (20 vols),Oct 2008 - Aug 2016
163,Shousetsu Akatsuki no Yona: Onaji Tsuki no Shita de,8.43,Light Novel (1 vols),Mar 2015 - Mar 2015
164,Kumo desu ga, Nani ka?,8.43,Light Novel (? vols),Dec 2015 -
165,Tower of God,8.43,Manhwa (? vols),Jul 2010 -
166,Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken,8.43,Light Novel (? vols),Jun 2019 -
167,Mata, Onaji Yume wo Miteita,8.42,Manga (3 vols),Sep 2017 - Aug 2018
168,Blue Lock,8.42,Manga (? vols),Aug 2018 -
169,The Legend of the Northern Blade,8.42,Manhwa (? vols),Dec 2019 -
170,Nodame Cantabile,8.42,Manga (25 vols),Jul 2001 - Aug 2010
171,21st Century Boys,8.42,Manga (2 vols),Dec 2006 - Jul 2007
172,Gunnm,8.42,Manga (9 vols),Nov 1990 - Mar 1995
173,Kuroshitsuji,8.42,Manga (? vols),Sep 2006 -
174,Onanie Master Kurosawa,8.42,Manga (4 vols),Sep 2007 - Mar 2008
175,Youjo Senki,8.42,Light Novel (? vols),Oct 2013 -
176,Innocent Rouge,8.41,Manga (12 vols),May 2015 - Jan 2020
