Rank,Title,Score,Chapters/Volumes,Published,Link
110,Kamisama Hajimemashita,8.53,Manga (25 vols),Feb 2008 - May 2016,https://myanimelist.net/manga/8157/Kamisama_Hajimemashita
111,Bastard,8.53,Manhwa (5 vols),Jul 2014 - May 2016,https://myanimelist.net/manga/111213/Bastard
112,Bungou Stray Dogs: Beast,8.53,Manga (4 vols),Dec 2019 - Jan 2022,https://myanimelist.net/manga/123006/Bungou_Stray_Dogs__Beast
113,"Oshi no Ko",8.52,Manga (? vols),Apr 2020 -,https://myanimelist.net/manga/126146/Oshi_no_Ko
114,Tokyo Ghoul,8.52,Manga (14 vols),Sep 2011 - Sep 2014,https://myanimelist.net/manga/33327/Tokyo_Ghoul
115,Chikan Otoko,8.52,Manga (? vols),2004 - 2004,https://myanimelist.net/manga/46282/Chikan_Otoko
116,Shimanami Tasogare,8.52,Manga (4 vols),Mar 2015 - May 2018,https://myanimelist.net/manga/97244/Shimanami_Tasogare
117,Fruits Basket,8.52,Manga (23 vols),Jul 1998 - Nov 2006,https://myanimelist.net/manga/102/Fruits_Basket
118,Chihayafuru,8.52,Manga (50 vols),Dec 2007 - Aug 2022,https://myanimelist.net/manga/13245/Chihayafuru
119,Tobaku Datenroku Kaiji: One Poker-hen,8.52,Manga (16 vols),Jun 2013 - Aug 2017,https://myanimelist.net/manga/61579/Tobaku_Datenroku_Kaiji__One_Poker-hen
120,Ohayou, Ibarahime,8.52,Manga (6 vols),Nov 2014 - May 2017,https://myanimelist.net/manga/88639/Ohayou_Ibarahime
121,Spirit Circle,8.51,Manga (6 vols),May 2012 - Mar 2016,https://myanimelist.net/manga/38071/Spirit_Circle
122,Steins;Gate,8.51,Light Novel (5 vols),Jun 2011 - May 2012,https://myanimelist.net/manga/39859/Steins_Gate
123,Bakemonogatari,8.51,Manga (? vols),Mar 2018 -,https://myanimelist.net/manga/113010/Bakemonogatari
124,Ouran Koukou Host Club,8.51,Manga (18 vols),Jul 2002 - Sep 2010,https://myanimelist.net/manga/30/Ouran_Koukou_Host_Club
125,Vanitas no Karte,8.51,Manga (? vols),Dec 2015 -,https://myanimelist.net/manga/93753/Vanitas_no_Karte
126,Monogatari Series: Off Season,8.50,Light Novel (4 vols),Oct 2015 - Jan 2017,https://myanimelist.net/manga/93097/Monogatari_Series__Off_Season
127,Ao Ashi,8.50,Manga (? vols),Jan 2015 -,https://myanimelist.net/manga/102256/Ao_Ashi
128,Monogatari Series: Monster Season,8.50,Light Novel (6 vols),Jul 2017 - Aug 2021,https://myanimelist.net/manga/108177/Monogatari_Series__Monster_Season
129,Umineko no Naku Koro ni Chiru - Episode 5: End of the Golden Witch,8.50,Manga (6 vols),Oct 2010 - Nov 2012,https://myanimelist.net/manga/21498/Umineko_no_Naku_Koro_ni_Chiru_-_Episode_5__End_of_the_Golden_Witch
130,Kimi wa Houkago Insomnia,8.50,Manga (? vols),May 2019 -,https://myanimelist.net/manga/121213/Kimi_wa_Houkago_Insomnia
131,blanc,8.49,Manga (2 vols),Feb 2018 - Sep 2020,https://myanimelist.net/manga/112988/blanc
132,Kimi no Suizou wo Tabetai,8.49,Manga (2 vols),Aug 2016 - May 2017,https://myanimelist.net/manga/104538/Kimi_no_Suizou_wo_Tabetai
133,Bungou Stray Dogs,8.49,Manga (? vols),Dec 2012 -,https://myanimelist.net/manga/56529/Bungou_Stray_Dogs
134,Tensei shitara Slime Datta Ken,8.49,Light Novel (? vols),May 2014 -,https://myanimelist.net/manga/87610/Tensei_shitara_Slime_Datta_Ken
135,Hinamatsuri,8.49,Manga (19 vols),Jun 2010 - Jul 2020,https://myanimelist.net/manga/36413/Hinamatsuri
136,No Game No Life,8.49,Light Novel (? vols),Apr 2012 -,https://myanimelist.net/manga/48399/No_Game_No_Life
137,Berserk: Shinen no Kami 2,8.48,One-shot (? vols),Jul 1996 - Jul 1996,https://myanimelist.net/manga/92299/Berserk__Shinen_no_Kami_2
138,Here U Are,8.48,Manhua (? vols),Nov 2017 - Dec 2020,https://myanimelist.net/manga/119072/Here_U_Are
139,Eyeshield 21,8.48,Manga (37 vols),Jul 2002 - Jun 2009,https://myanimelist.net/manga/43/Eyeshield_21
140,Ping Pong,8.48,Manga (5 vols),1996 - 1997,https://myanimelist.net/manga/5744/Ping_Pong
141,Kyou kara Ore wa!!,8.48,Manga (38 vols),1988 - Oct 1997,https://myanimelist.net/manga/6812/Kyou_kara_Ore_wa
142,Kami nomi zo Shiru Sekai,8.48,Manga (26 vols),Apr 2008 - Apr 2014,https://myanimelist.net/manga/7519/Kami_nomi_zo_Shiru_Sekai
143,Cross Game,8.47,Manga (17 vols),Sep 2005 - Feb 2010,https://myanimelist.net/manga/1183/Cross_Game
144,Glass no Kamen,8.47,Manga (49 vols),Jan 1976 - May 2012,https://myanimelist.net/manga/1469/Glass_no_Kamen
145,Holyland,8.47,Manga (18 vols),Oct 2000 - May 2008,https://myanimelist.net/manga/3285/Holyland
146,Fullmetal Alchemist,8.47,Light Novel (7 vols),Feb 2003 - Apr 2010,https://myanimelist.net/manga/4658/Fullmetal_Alchemist
147,Who Made Me a Princess,8.47,Manhwa (? vols),Dec 2017 - Apr 2022,https://myanimelist.net/manga/121269/Who_Made_Me_a_Princess
148,Umineko no Naku Koro ni,8.47,Light Novel (8 vols),Jul 2009 - Aug 2010,https://myanimelist.net/manga/66517/Umineko_no_Naku_Koro_ni
149,Gekkan Shoujo Nozaki-kun,8.46,Manga (? vols),Aug 2011 -,https://myanimelist.net/manga/29211/Gekkan_Shoujo_Nozaki-kun
150,Ookami to Koushinryou,8.46,Manga (16 vols),Sep 2007 - Dec 2017,https://myanimelist.net/manga/3299/Ookami_to_Koushinryou
151,Rainbow: Nisha Rokubou no Shichinin,8.46,Manga (22 vols),Nov 2002 - Jan 2010,https://myanimelist.net/manga/7482/Rainbow__Nisha_Rokubou_no_Shichinin
152,Doraemon,8.45,Manga (45 vols),Dec 1969 - 1996,https://myanimelist.net/manga/1032/Doraemon
153,Tomodachi Game,8.45,Manga (? vols),Dec 2013 -,https://myanimelist.net/manga/62795/Tomodachi_Game
154,Yuukoku no Moriarty,8.45,Manga (? vols),Aug 2016 -,https://myanimelist.net/manga/100323/Yuukoku_no_Moriarty
155,JoJo no Kimyou na Bouken Part 8: JoJolion,8.45,Manga (27 vols),May 2011 - Aug 2021,https://myanimelist.net/manga/25515/JoJo_no_Kimyou_na_Bouken_Part_8__JoJolion
156,Horimiya,8.44,Manga (16 vols),Oct 2011 - Mar 2021,https://myanimelist.net/manga/42451/Horimiya
157,Barakamon,8.44,Manga (18 vols),Feb 2008 - Jan 2019,https://myanimelist.net/manga/17051/Barakamon
158,Kusuriya no Hitorigoto,8.44,Manga (? vols),May 2017 -,https://myanimelist.net/manga/107562/Kusuriya_no_Hitorigoto
159,Shousetsu Akatsuki no Yona: Onaji Tsuki no Shita de,8.43,Light Novel (1 vols),Mar 2015 - Mar 2015,https://myanimelist.net/manga/87953/Shousetsu_Akatsuki_no_Yona__Onaji_Tsuki_no_Shita_de
160,Blade of the Immortal,8.43,Manga (30 vols),Jun 1993 - Dec 2012,https://myanimelist.net/manga/658/Blade_of_the_Immortal
161,The Breaker,8.43,Manhwa (10 vols),Jun 2007 - Jul 2010,https://myanimelist.net/manga/8586/The_Breaker
162,Billy Bat,8.43,Manga (20 vols),Oct 2008 - Aug 2016,https://myanimelist.net/manga/11054/Billy_Bat
163,Tower of God,8.43,Manhwa (? vols),Jul 2010 -,https://myanimelist.net/manga/122663/Tower_of_God
164,Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken,8.43,Light Novel (? vols),Jun 2019 -,https://myanimelist.net/manga/123649/Otonari_no_Tenshi-sama_ni_Itsunomanika_Dame_Ningen_ni_Sareteita_Ken
165,Mata, Onaji Yume wo Miteita,8.42,Manga (3 vols),Sep 2017 - Aug 2018,https://myanimelist.net/manga/110160/Mata_Onaji_Yume_wo_Miteita
166,Blue Lock,8.42,Manga (? vols),Aug 2018 -,https://myanimelist.net/manga/114745/Blue_Lock
167,The Legend of the Northern Blade,8.42,Manhwa (? vols),Dec 2019 -,https://myanimelist.net/manga/134744/The_Legend_of_the_Northern_Blade
168,Youjo Senki,8.42,Light Novel (? vols),Oct 2013 -,https://myanimelist.net/manga/88930/Youjo_Senki
169,Kumo desu ga, Nani ka?,8.42,Light Novel (16 vols),Dec 2015 - Jan 2022,https://myanimelist.net/manga/95012/Kumo_desu_ga_Nani_ka
170,Umineko no Naku Koro ni Chiru - Episode 6: Dawn of the Golden Witch,8.42,Manga (6 vols),Nov 2010 - Nov 2012,https://myanimelist.net/manga/21499/Umineko_no_Naku_Koro_ni_Chiru_-_Episode_6__Dawn_of_the_Golden_Witch
171,Nodame Cantabile,8.42,Manga (25 vols),Jul 2001 - Aug 2010,https://myanimelist.net/manga/419/Nodame_Cantabile
172,21st Century Boys,8.42,Manga (2 vols),Dec 2006 - Jul 2007,https://myanimelist.net/manga/743/21st_Century_Boys
173,Gunnm,8.42,Manga (9 vols),Nov 1990 - Mar 1995,https://myanimelist.net/manga/768/Gunnm
174,Kuroshitsuji,8.42,Manga (? vols),Sep 2006 -,https://myanimelist.net/manga/3866/Kuroshitsuji
175,Onanie Master Kurosawa,8.42,Manga (4 vols),Sep 2007 - Mar 2008,https://myanimelist.net/manga/8967/Onanie_Master_Kurosawa
176,Tobaku Mokushiroku Kaiji,8.41,Manga (13 vols),Feb 1996 - Jul 1999,https://myanimelist.net/manga/3572/Tobaku_Mokushiroku_Kaiji
177,Innocent Rouge,8.41,Manga (12 vols),May 2015 - Jan 2020,https://myanimelist.net/manga/93699/Innocent_Rouge
178,Tian Guan Ci Fu,8.41,Novel (6 vols),Feb 2021 - Mar 2022,https://myanimelist.net/manga/130826/Tian_Guan_Ci_Fu
179,Look Back,8.41,Manga (1 vols),Jul 2021 - Jul 2021,https://myanimelist.net/manga/138673/Look_Back
180,Noragami,8.41,Manga (? vols),Dec 2010 -,https://myanimelist.net/manga/24692/Noragami
181,No.6,8.41,Novel (9 vols),Oct 2003 - Jun 2011,https://myanimelist.net/manga/26728/No6
182,Imawa no Kuni no Alice,8.41,Manga (18 vols),Nov 2010 - Mar 2016,https://myanimelist.net/manga/33031/Imawa_no_Kuni_no_Alice
