Rank,Title,Score,Chapters/Volumes,Published,Link
9022,Otome wa Boku ni Koishiteru,6.91,Manga (2 vols),Sep 2006 - Jun 2008,https://myanimelist.net/manga/2955/Otome_wa_Boku_ni_Koishiteru
9023,Shiroi Heya no Futari,6.91,Manga (1 vols),1971 - 1971,https://myanimelist.net/manga/3600/Shiroi_Heya_no_Futari
9024,Asa made, Motto.,6.91,Manga (2 vols),Jun 2005 - Feb 2006,https://myanimelist.net/manga/3632/Asa_made_Motto
9025,Nandemo Arisa,6.91,One-shot (? vols),2005 - 2005,https://myanimelist.net/manga/3650/Nandemo_Arisa
9026,Happiness!,6.91,Manga (2 vols),2006 -,https://myanimelist.net/manga/4121/Happiness
9027,Sayonara ga Chikai no de,6.91,One-shot (? vols),Mar 2004 - Mar 2004,https://myanimelist.net/manga/4307/Sayonara_ga_Chikai_no_de
9028,Bibi,6.91,Manhwa (7 vols),2003 -,https://myanimelist.net/manga/4581/Bibi
9029,Drakuun,6.91,Manga (5 vols),May 1995 - Aug 2003,https://myanimelist.net/manga/4971/Drakuun
9030,Caravan Kidd,6.91,Manga (5 vols),Jul 1986 - Dec 1988,https://myanimelist.net/manga/5590/Caravan_Kidd
9031,Get You,6.91,Manga (13 vols),1999 - 2003,https://myanimelist.net/manga/6322/Get_You
9032,Junai Junkie,6.91,Manga (1 vols),Feb 2006 - Feb 2006,https://myanimelist.net/manga/6921/Junai_Junkie
9033,Mou Hitotsu no Shinwa,6.91,Manga (1 vols),May 1984 - Jan 1986,https://myanimelist.net/manga/7030/Mou_Hitotsu_no_Shinwa
9034,Candy Flower,6.91,Manga (1 vols),Jun 2004 - Apr 2005,https://myanimelist.net/manga/7276/Candy_Flower
9035,Musubiya Nanako,6.91,Manga (1 vols),Aug 1997 - Aug 1997,https://myanimelist.net/manga/7426/Musubiya_Nanako
9036,Mouse,6.91,Manga (14 vols),Nov 1999 - Aug 2004,https://myanimelist.net/manga/7660/Mouse
9037,Platina,6.91,Manhwa (14 vols),2003 -,https://myanimelist.net/manga/7778/Platina
9038,SiraYuki PaniMix!,6.91,Manga (7 vols),2007 - 2010,https://myanimelist.net/manga/8067/SiraYuki_PaniMix
9039,Shounen Harem,6.91,Manga (3 vols),2001 - 2001,https://myanimelist.net/manga/8096/Shounen_Harem
9040,Me wo Mite Hanase,6.91,One-shot (? vols),May 2003 - May 2003,https://myanimelist.net/manga/8988/Me_wo_Mite_Hanase
9041,U wa Uchuusen no U,6.91,Manga (1 vols),1977 - 1978,https://myanimelist.net/manga/9170/U_wa_Uchuusen_no_U
9042,Kyo→dai dakara Nanda yo!?,6.91,Manga (2 vols),2007 - 2008,https://myanimelist.net/manga/9423/Kyo→dai_dakara_Nanda_yo
9043,Dong Meng,6.91,Manhua (? vols),2007 - 2008,https://myanimelist.net/manga/9774/Dong_Meng
9044,Lovely♥Lesson: Hair Make-hen,6.91,Manga (1 vols),Jul 2007 - Jul 2007,https://myanimelist.net/manga/9840/Lovely♥Lesson__Hair_Make-hen
9045,Yoo Ah Dok-Jon,6.91,Manhwa (2 vols),2007 - 2007,https://myanimelist.net/manga/10527/Yoo_Ah_Dok-Jon
9046,Hoshi no Canvas,6.91,Manga (1 vols),-,https://myanimelist.net/manga/10727/Hoshi_no_Canvas
9047,Kiseki no Koibana,6.91,Manga (1 vols),-,https://myanimelist.net/manga/10834/Kiseki_no_Koibana
9048,Magarikado no Bokura,6.91,Manga (1 vols),-,https://myanimelist.net/manga/11030/Magarikado_no_Bokura
9049,Kin no Angel,6.91,Manga (? vols),2008 -,https://myanimelist.net/manga/12454/Kin_no_Angel
9050,Hokuto no Ken - Jagi Gaiden,6.91,Manga (2 vols),Dec 2008 - Aug 2009,https://myanimelist.net/manga/12467/Hokuto_no_Ken_-_Jagi_Gaiden
9051,Sora ni Saitara,6.91,One-shot (? vols),-,https://myanimelist.net/manga/13223/Sora_ni_Saitara
9052,Akai Hebi,6.91,Manga (1 vols),1983 - 1983,https://myanimelist.net/manga/13546/Akai_Hebi
9053,Choku!,6.91,Manga (4 vols),Nov 2008 - Dec 2010,https://myanimelist.net/manga/14357/Choku
9054,Ageha wo Ou Monotachi,6.91,Manga (4 vols),Jul 2009 - Dec 2010,https://myanimelist.net/manga/15087/Ageha_wo_Ou_Monotachi
9055,Spicy Fever,6.91,One-shot (? vols),2009 - 2009,https://myanimelist.net/manga/15210/Spicy_Fever
9056,Yu☆Gi☆Oh! 5D's,6.91,Manga (9 vols),Aug 2009 - Jan 2015,https://myanimelist.net/manga/15372/Yu☆Gi☆Oh_5Ds
9057,Imomushi,6.91,Manga (1 vols),2009 - 2009,https://myanimelist.net/manga/15589/Imomushi
9058,Twinkle Cherry,6.91,Manga (1 vols),Jul 2008 - Jul 2008,https://myanimelist.net/manga/15702/Twinkle_Cherry
9059,Yellow Dragon ga Arawareta!,6.91,Manga (2 vols),Jul 2009 - Jul 2010,https://myanimelist.net/manga/15816/Yellow_Dragon_ga_Arawareta
9060,Hatsujou Junjou☆Douwa,6.91,Manga (1 vols),Mar 2009 - Mar 2009,https://myanimelist.net/manga/17507/Hatsujou_Junjou☆Douwa
9061,Metallic Colors,6.91,Manga (1 vols),Dec 2008 - Dec 2009,https://myanimelist.net/manga/17576/Metallic_Colors
9062,Tabetai Hito,6.91,Manga (1 vols),Jun 2009 - Jun 2009,https://myanimelist.net/manga/17634/Tabetai_Hito
9063,Magnolia Waltz,6.91,Manga (3 vols),Mar 1994 - 1995,https://myanimelist.net/manga/18283/Magnolia_Waltz
9064,Going to You,6.91,Manhwa (9 vols),2008 -,https://myanimelist.net/manga/18741/Going_to_You
9065,Kanade,6.91,Manga (9 vols),Apr 2008 - Nov 2011,https://myanimelist.net/manga/20168/Kanade
9066,Orange Yellow,6.91,Manga (1 vols),-,https://myanimelist.net/manga/20481/Orange_Yellow
9067,God Eater: The Spiral Fate,6.91,Manga (2 vols),Sep 2009 - Nov 2010,https://myanimelist.net/manga/21296/God_Eater__The_Spiral_Fate
9068,Hime-chan no Ribon Colorful,6.91,Manga (4 vols),2009 -,https://myanimelist.net/manga/21421/Hime-chan_no_Ribon_Colorful
9069,Chiteikoku no Kaijin,6.91,Manga (1 vols),Feb 1948 - Feb 1948,https://myanimelist.net/manga/22307/Chiteikoku_no_Kaijin
9070,Spirit of the Ocean,6.91,Manhua (9 vols),-,https://myanimelist.net/manga/22451/Spirit_of_the_Ocean
9071,Toxic,6.91,Manga (3 vols),Jun 2010 - 2011,https://myanimelist.net/manga/22455/Toxic
9072,Miman Renai dj - Summer Story,6.91,Doujinshi (1 vols),Aug 2010 - Aug 2010,https://myanimelist.net/manga/22996/Miman_Renai_dj_-_Summer_Story
9073,Wombs,6.91,Manga (5 vols),Apr 2009 - Jan 2016,https://myanimelist.net/manga/23502/Wombs
9074,Rokuyoku,6.91,One-shot (? vols),Aug 2010 - Aug 2010,https://myanimelist.net/manga/23558/Rokuyoku
9075,IS: Infinite Stratos,6.91,Manga (5 vols),May 2010 - Jul 2012,https://myanimelist.net/manga/23868/IS__Infinite_Stratos
9076,Tsuugaku Densha: Kimi to Boku no Heya,6.91,Manga (1 vols),2010 - 2010,https://myanimelist.net/manga/23874/Tsuugaku_Densha__Kimi_to_Boku_no_Heya
9077,Mahoromi: Jikuu Kenchiku Genshitan,6.91,Manga (4 vols),Feb 2010 - Mar 2015,https://myanimelist.net/manga/23951/Mahoromi__Jikuu_Kenchiku_Genshitan
9078,Papa no Iukoto wo Kikinasai!: Miu-sama no Iutoori,6.91,Manga (1 vols),Aug 2011 - Dec 2011,https://myanimelist.net/manga/28553/Papa_no_Iukoto_wo_Kikinasai__Miu-sama_no_Iutoori
9079,She's Gon,6.91,Manhwa (3 vols),2012 -,https://myanimelist.net/manga/33811/Shes_Gon
9080,Shinyuu to Watashi no Suki na Hito,6.91,Manga (1 vols),Sep 2011 - Oct 2011,https://myanimelist.net/manga/34897/Shinyuu_to_Watashi_no_Suki_na_Hito
9081,Teke-Teke★Rendezvous,6.91,Manga (4 vols),May 2009 - Apr 2014,https://myanimelist.net/manga/35617/Teke-Teke★Rendezvous
9082,Ouji to Hero,6.91,Manga (4 vols),Nov 2012 - Dec 2012,https://myanimelist.net/manga/36409/Ouji_to_Hero
9083,Eternal Moment,6.91,Manhua (1 vols),Feb 2011 - Feb 2011,https://myanimelist.net/manga/36549/Eternal_Moment
9084,Gekiga Yose: Shibahama,6.91,Manga (1 vols),Jul 2009 - Jul 2009,https://myanimelist.net/manga/36753/Gekiga_Yose__Shibahama
9085,Ritou no Umi,6.91,Manga (1 vols),Sep 2009 - Sep 2010,https://myanimelist.net/manga/41767/Ritou_no_Umi
9086,Fukanzen Shinsei Kikan Ilis,6.91,Manga (1 vols),Jul 2012 - Dec 2012,https://myanimelist.net/manga/43553/Fukanzen_Shinsei_Kikan_Ilis
9087,Kimi no Himitsu,6.91,Manga (1 vols),Jul 2012 - Jul 2012,https://myanimelist.net/manga/43763/Kimi_no_Himitsu
9088,Hotel la Vie en Rose,6.91,Manga (1 vols),Sep 2012 - Dec 2012,https://myanimelist.net/manga/46074/Hotel_la_Vie_en_Rose
9089,Ore no Kanojo ni Nanika Youkai,6.91,Manga (7 vols),Sep 2011 - Apr 2020,https://myanimelist.net/manga/46722/Ore_no_Kanojo_ni_Nanika_Youkai
9090,Koko dake no Hanashi.,6.91,Manga (1 vols),Feb 2013 - Dec 2014,https://myanimelist.net/manga/51795/Koko_dake_no_Hanashi
9091,Hanjuku-hime,6.90,Manga (1 vols),Jan 2010 - Jan 2010,https://myanimelist.net/manga/18760/Hanjuku-hime
9092,Pokerface,6.90,Manhwa (? vols),Apr 2010 - Apr 2010,https://myanimelist.net/manga/18887/Pokerface
9093,Ghost wa Kiss wo Kirau,6.90,Manga (1 vols),-,https://myanimelist.net/manga/19451/Ghost_wa_Kiss_wo_Kirau
9094,Nightmare Maker,6.90,Manga (6 vols),Feb 2008 - Aug 2012,https://myanimelist.net/manga/19767/Nightmare_Maker
9095,Sengoku ARMORS,6.90,One-shot (? vols),Feb 2010 - Feb 2010,https://myanimelist.net/manga/20666/Sengoku_ARMORS
9096,Shitsuji Shoujo to Ojousama,6.90,Manga (2 vols),May 2009 - Nov 2010,https://myanimelist.net/manga/20757/Shitsuji_Shoujo_to_Ojousama
9097,Past Future,6.90,Manga (2 vols),Jul 2010 - Feb 2013,https://myanimelist.net/manga/22598/Past_Future
9098,Otome wa Boku ni Koishiteru: Futari no Elder,6.90,Manga (3 vols),May 2010 - Dec 2011,https://myanimelist.net/manga/24242/Otome_wa_Boku_ni_Koishiteru__Futari_no_Elder
9099,Ore x Yome - Cupid no Itazura,6.90,Manga (1 vols),Dec 2008 - Oct 2009,https://myanimelist.net/manga/24873/Ore_x_Yome_-_Cupid_no_Itazura
9100,The Thousand-Year Fox's Operation-Human,6.90,Manhwa (8 vols),-,https://myanimelist.net/manga/25230/The_Thousand-Year_Foxs_Operation-Human
9101,Kimi no Sei - Kizuato,6.90,Manga (2 vols),2011 - 2011,https://myanimelist.net/manga/26334/Kimi_no_Sei_-_Kizuato
9102,Perfect Rose,6.90,Manga (3 vols),Jul 2011 - Jul 2012,https://myanimelist.net/manga/26967/Perfect_Rose
9103,Summer Switch,6.90,One-shot (? vols),Aug 2009 - Aug 2009,https://myanimelist.net/manga/31315/Summer_Switch
9104,Ai♥Heya,6.90,Manga (1 vols),Mar 2008 - Mar 2008,https://myanimelist.net/manga/31495/Ai♥Heya
9105,Seiyuu Ichinensei,6.90,Manga (4 vols),Sep 2010 - Nov 2012,https://myanimelist.net/manga/31885/Seiyuu_Ichinensei
9106,Maoyuu 4-koma: Muitemasen yo, Maou-sama!,6.90,Manga (3 vols),Jun 2011 - Oct 2014,https://myanimelist.net/manga/33423/Maoyuu_4-koma__Muitemasen_yo_Maou-sama
9107,Ekimae Hanayome,6.90,Manga (1 vols),1998 - 2000,https://myanimelist.net/manga/33593/Ekimae_Hanayome
9108,Puppy, My Love,6.90,Manga (1 vols),2009 - 2009,https://myanimelist.net/manga/35173/Puppy_My_Love
9109,Blind Märchen,6.90,Manhwa (2 vols),Oct 2011 - Mar 2012,https://myanimelist.net/manga/36151/Blind_Märchen
9110,Scarlet Cross,6.90,Manhua (? vols),Apr 2012 -,https://myanimelist.net/manga/37433/Scarlet_Cross
9111,13 Game,6.90,Manga (? vols),Feb 2012 - Aug 2013,https://myanimelist.net/manga/37677/13_Game
9112,Ouji to Houkago,6.90,Manga (1 vols),Jan 2010 - Jan 2010,https://myanimelist.net/manga/37963/Ouji_to_Houkago
9113,BlazBlue: Remix Heart,6.90,Manga (4 vols),Jun 2012 - Jun 2014,https://myanimelist.net/manga/41823/BlazBlue__Remix_Heart
9114,Acchel World.,6.90,Manga (5 vols),Apr 2010 - Jun 2016,https://myanimelist.net/manga/41867/Acchel_World
9115,Li Ren Man,6.90,Manhua (3 vols),2004 - 2005,https://myanimelist.net/manga/42311/Li_Ren_Man
9116,Ichirei shite, Kiss,6.90,Manga (7 vols),Sep 2012 - Dec 2014,https://myanimelist.net/manga/43765/Ichirei_shite_Kiss
9117,Hakamori Majo Bianca,6.90,Manga (1 vols),Dec 2011 - Apr 2013,https://myanimelist.net/manga/44045/Hakamori_Majo_Bianca
9118,Seishun Rikon,6.90,Manga (1 vols),Nov 2011 - Jun 2012,https://myanimelist.net/manga/45089/Seishun_Rikon
9119,Fushigi na Hito,6.90,Manga (1 vols),-,https://myanimelist.net/manga/46518/Fushigi_na_Hito
9120,Mangaka-san to Assistant-san to 2,6.90,Manga (1 vols),Aug 2013 - Jun 2014,https://myanimelist.net/manga/56693/Mangaka-san_to_Assistant-san_to_2
9121,Kira Kira Namida: Koishiteta, Aishiteta,6.90,One-shot (? vols),Jul 2013 - Jul 2013,https://myanimelist.net/manga/57357/Kira_Kira_Namida__Koishiteta_Aishiteta
9122,Danshigurashi,6.90,Manga (1 vols),Jan 2013 - Jul 2013,https://myanimelist.net/manga/69143/Danshigurashi
9123,Zero: Kage Miko,6.90,Manga (7 vols),Jul 2014 - Jul 2017,https://myanimelist.net/manga/76397/Zero__Kage_Miko
9124,Shiro no Koukoku Monogatari,6.90,Manga (8 vols),Jan 2013 - Feb 2019,https://myanimelist.net/manga/80487/Shiro_no_Koukoku_Monogatari
9125,Kaimetsuou to 12-nin no Hoshi no Miko,6.90,Manga (6 vols),May 2015 - Feb 2018,https://myanimelist.net/manga/88662/Kaimetsuou_to_12-nin_no_Hoshi_no_Miko
9126,Shigahime,6.90,Manga (5 vols),Nov 2016 - Mar 2019,https://myanimelist.net/manga/110922/Shigahime
9127,Mouryou Shoujo,6.90,Manga (7 vols),Jan 2018 - Aug 2021,https://myanimelist.net/manga/112399/Mouryou_Shoujo
9128,Kyou no Koneko no Chi,6.90,Manga (4 vols),Oct 2016 - Sep 2017,https://myanimelist.net/manga/114073/Kyou_no_Koneko_no_Chi
9129,Count Over,6.90,One-shot (? vols),May 2018 - May 2018,https://myanimelist.net/manga/114512/Count_Over
9130,Futari de Koi wo Suru Riyuu,6.90,Manga (? vols),Nov 2018 -,https://myanimelist.net/manga/117528/Futari_de_Koi_wo_Suru_Riyuu
9131,Hataraku Saibou Friend,6.90,Manga (6 vols),Jan 2019 - Apr 2021,https://myanimelist.net/manga/117606/Hataraku_Saibou_Friend
9132,Boku wa, Yuri na Oneechan wo Ouen shiteimasu,6.90,Manga (1 vols),Mar 2019 - Oct 2019,https://myanimelist.net/manga/119595/Boku_wa_Yuri_na_Oneechan_wo_Ouen_shiteimasu
9133,Toshishita no Senpai-chan ni wa, Maketakunai.,6.90,Manga (1 vols),Oct 2017 - Feb 2018,https://myanimelist.net/manga/119835/Toshishita_no_Senpai-chan_ni_wa_Maketakunai
9134,Hana to Sakazuki,6.90,Manga (1 vols),Jan 2014 - Aug 2015,https://myanimelist.net/manga/120273/Hana_to_Sakazuki
9135,Kitanai Kimi ga Ichiban Kawaii,6.90,Manga (5 vols),Jun 2019 - Feb 2022,https://myanimelist.net/manga/120492/Kitanai_Kimi_ga_Ichiban_Kawaii
9136,2.5-jigen no Yuuwaku,6.90,Manga (? vols),Jun 2019 -,https://myanimelist.net/manga/120974/25-jigen_no_Yuuwaku
9137,HG ni Koisuru Futari,6.90,Manga (? vols),Nov 2019 -,https://myanimelist.net/manga/125111/HG_ni_Koisuru_Futari
9138,Uranaishi no Nayamigoto,6.90,Manga (2 vols),Apr 2019 - Oct 2020,https://myanimelist.net/manga/131887/Uranaishi_no_Nayamigoto
9139,Usotsuki Mille Feuille,6.90,Manga (1 vols),Sep 2018 - Jul 2019,https://myanimelist.net/manga/138399/Usotsuki_Mille_Feuille
9140,Chotto dake Nukechau Hiiragi-san,6.90,Manga (? vols),Jun 2021 -,https://myanimelist.net/manga/138563/Chotto_dake_Nukechau_Hiiragi-san
9141,Sabinuki Kanojo,6.90,Manga (1 vols),Mar 2012 - Aug 2014,https://myanimelist.net/manga/90875/Sabinuki_Kanojo
9142,Akuyaku Cinderella,6.90,Manga (1 vols),Dec 2014 - Apr 2015,https://myanimelist.net/manga/91936/Akuyaku_Cinderella
9143,Yu☆Gi☆Oh! Arc-V,6.90,Manga (7 vols),Aug 2015 - Apr 2019,https://myanimelist.net/manga/92499/Yu☆Gi☆Oh_Arc-V
9144,Nanatsu no Taizai Production,6.90,Manga (4 vols),Nov 2015 - Oct 2017,https://myanimelist.net/manga/93979/Nanatsu_no_Taizai_Production
9145,Rozen Maiden 0,6.90,Manga (4 vols),Feb 2016 - Mar 2019,https://myanimelist.net/manga/95216/Rozen_Maiden_0
9146,Gekijouban Naruto: Shippuuden - The Lost Tower,6.90,Light Novel (1 vols),Aug 2010 - Aug 2010,https://myanimelist.net/manga/96768/Gekijouban_Naruto__Shippuuden_-_The_Lost_Tower
9147,Majo-kun to Watashi,6.90,Manga (1 vols),Mar 2016 - Jul 2016,https://myanimelist.net/manga/99352/Majo-kun_to_Watashi
9148,Bokura no Hentai dj - Boku Tabun Hentai,6.90,Doujinshi (1 vols),May 2016 - May 2016,https://myanimelist.net/manga/99363/Bokura_no_Hentai_dj_-_Boku_Tabun_Hentai
9149,Ari no Ou,6.90,Manga (? vols),May 2015 -,https://myanimelist.net/manga/100472/Ari_no_Ou
9150,Shikkoku Shoujo to Shiro no Doukei,6.90,One-shot (? vols),Feb 2014 - Feb 2014,https://myanimelist.net/manga/102193/Shikkoku_Shoujo_to_Shiro_no_Doukei
9151,Tatoeba Last Dungeon Mae no Mura no Shounen ga Joban no Machi de Kurasu Youna Monogatari,6.90,Light Novel (? vols),Feb 2017 -,https://myanimelist.net/manga/103176/Tatoeba_Last_Dungeon_Mae_no_Mura_no_Shounen_ga_Joban_no_Machi_de_Kurasu_Youna_Monogatari
9152,Buta Koushaku ni Tensei shita kara, Kondo wa Kimi ni Suki to Iitai,6.90,Light Novel (? vols),Feb 2017 -,https://myanimelist.net/manga/104490/Buta_Koushaku_ni_Tensei_shita_kara_Kondo_wa_Kimi_ni_Suki_to_Iitai
9153,Nejikemono,6.90,Manga (3 vols),Dec 2016 - Oct 2018,https://myanimelist.net/manga/105181/Nejikemono
9154,Maou no Hisho,6.90,Manga (? vols),Apr 2016 -,https://myanimelist.net/manga/107110/Maou_no_Hisho
9155,Remote,6.90,Manga (10 vols),2002 - 2004,https://myanimelist.net/manga/499/Remote
9156,Kakugo no Susume,6.90,Manga (11 vols),Feb 1994 - Mar 1996,https://myanimelist.net/manga/1001/Kakugo_no_Susume
9157,Kanshakudama no Yuutsu,6.90,Manga (1 vols),Aug 2008 -,https://myanimelist.net/manga/1118/Kanshakudama_no_Yuutsu
9158,Appare Jipangu!,6.90,Manga (3 vols),1998 - 2003,https://myanimelist.net/manga/1165/Appare_Jipangu
9159,Nasu,6.90,Manga (3 vols),Jul 2001 - Dec 2002,https://myanimelist.net/manga/1245/Nasu
9160,Seiken Densetsu: Legend of Mana,6.90,Manga (5 vols),2000 - 2003,https://myanimelist.net/manga/1305/Seiken_Densetsu__Legend_of_Mana
9161,Hoshigari Love Dollar,6.90,Manga (3 vols),2003 -,https://myanimelist.net/manga/1820/Hoshigari_Love_Dollar
9162,Hatsujou Material,6.90,Manga (1 vols),2004 - 2004,https://myanimelist.net/manga/2153/Hatsujou_Material
9163,Three Quarters,6.90,Manga (1 vols),2001 -,https://myanimelist.net/manga/2597/Three_Quarters
9164,Mister Mermaid,6.90,Manga (1 vols),1995 - 1995,https://myanimelist.net/manga/2705/Mister_Mermaid
9165,Hayabusa,6.90,Manga (1 vols),Feb 2004 - Dec 2004,https://myanimelist.net/manga/3333/Hayabusa
9166,Love Scar,6.90,Manga (2 vols),1994 - 1994,https://myanimelist.net/manga/3589/Love_Scar
9167,Towa Kamo Shirenai,6.90,Manga (8 vols),Oct 1997 - Jun 2000,https://myanimelist.net/manga/3682/Towa_Kamo_Shirenai
9168,Live,6.90,Manga (1 vols),Dec 2003 - Mar 2004,https://myanimelist.net/manga/3879/Live
9169,Tsuki wo Dakishimeru.,6.90,Manga (1 vols),2005 - 2005,https://myanimelist.net/manga/4131/Tsuki_wo_Dakishimeru
9170,Black Blood Brothers ver.C,6.90,Manga (1 vols),2007 - 2007,https://myanimelist.net/manga/4174/Black_Blood_Brothers_verC
9171,Kiss in the Blue,6.90,Manga (4 vols),-,https://myanimelist.net/manga/4745/Kiss_in_the_Blue
9172,#000000: Ultra Black,6.90,Manga (7 vols),Oct 2007 - Jul 2011,https://myanimelist.net/manga/4769/000000__Ultra_Black
9173,Evangel,6.90,Manga (1 vols),Nov 2003 - Nov 2003,https://myanimelist.net/manga/5353/Evangel
9174,Zelda no Densetsu: Kamigami no Triforce (1992),6.90,Manga (1 vols),Jan 1992 - Dec 1992,https://myanimelist.net/manga/5939/Zelda_no_Densetsu__Kamigami_no_Triforce_1992
9175,Get the Moon,6.90,Manga (1 vols),Nov 2002 - Nov 2002,https://myanimelist.net/manga/6572/Get_the_Moon
9176,Boku no Tenohira de Odore,6.90,Manga (1 vols),2005 - 2005,https://myanimelist.net/manga/6883/Boku_no_Tenohira_de_Odore
9177,Kiss Me Baby,6.90,Manga (1 vols),-,https://myanimelist.net/manga/7192/Kiss_Me_Baby
9178,Onnanoko wa Yoyuu!,6.90,Manga (1 vols),1985 - 1990,https://myanimelist.net/manga/7256/Onnanoko_wa_Yoyuu
9179,Mimoza de Sarada,6.90,Manga (1 vols),2003 -,https://myanimelist.net/manga/8382/Mimoza_de_Sarada
9180,Rockman X,6.90,Manga (3 vols),1994 - 1994,https://myanimelist.net/manga/8525/Rockman_X
9181,Shadow of Visions,6.90,Manhua (5 vols),-,https://myanimelist.net/manga/8835/Shadow_of_Visions
9182,Jinrui Nekoka,6.90,Manga (3 vols),Dec 1984 - Aug 1986,https://myanimelist.net/manga/9751/Jinrui_Nekoka
9183,Afro Samurai,6.90,Manga (2 vols),Sep 2008 - Feb 2009,https://myanimelist.net/manga/9935/Afro_Samurai
9184,Heureka,6.90,Manga (1 vols),2002 - 2002,https://myanimelist.net/manga/10619/Heureka
9185,Tengoku no Inu Monogatari,6.90,Manga (6 vols),2004 -,https://myanimelist.net/manga/10699/Tengoku_no_Inu_Monogatari
9186,Di Gi Charat Theater: Leave it To Piyoko!,6.90,Manga (2 vols),2002 - 2003,https://myanimelist.net/manga/11136/Di_Gi_Charat_Theater__Leave_it_To_Piyoko
9187,Love Blog,6.90,Manga (3 vols),2005 - 2008,https://myanimelist.net/manga/11460/Love_Blog
9188,Kokaku Torimonochou,6.90,Manga (8 vols),Jan 2006 - Jun 2010,https://myanimelist.net/manga/12924/Kokaku_Torimonochou
9189,E.A.r.T.h,6.90,Manga (4 vols),Sep 2005 - Feb 2008,https://myanimelist.net/manga/13430/EArTh
9190,Kodoku Experiment,6.90,Manga (3 vols),Jul 1999 - Oct 2001,https://myanimelist.net/manga/13603/Kodoku_Experiment
9191,Pink Choudai,6.90,Manga (1 vols),2005 - 2005,https://myanimelist.net/manga/13727/Pink_Choudai
9192,Manga no Tsukurikata,6.90,Manga (8 vols),Jan 2008 - Apr 2014,https://myanimelist.net/manga/13730/Manga_no_Tsukurikata
9193,Aoyama Gosho Tanpenshuu,6.90,Manga (1 vols),Dec 1986 - Jul 1988,https://myanimelist.net/manga/13884/Aoyama_Gosho_Tanpenshuu
9194,Hokenshitsu no Shinigami,6.90,One-shot (? vols),2009 - 2009,https://myanimelist.net/manga/14010/Hokenshitsu_no_Shinigami
9195,Reverse/End,6.90,Manga (3 vols),2007 - 2007,https://myanimelist.net/manga/14871/Reverse_End
9196,Palepoli,6.90,Manga (1 vols),Jul 1994 - Mar 1996,https://myanimelist.net/manga/15895/Palepoli
9197,Dragon Ball: Ossu! Kaettekita Son Gokuu to Nakama-tachi!!,6.90,Manga (2 vols),Mar 2009 - Apr 2009,https://myanimelist.net/manga/16110/Dragon_Ball__Ossu_Kaettekita_Son_Gokuu_to_Nakama-tachi
9198,Mystic Musketeer,6.90,Manhwa (? vols),Feb 2021 -,https://myanimelist.net/manga/148108/Mystic_Musketeer
9199,50 Tea Recipes from the Duchess,6.89,Manhwa (? vols),Jul 2019 - Apr 2022,https://myanimelist.net/manga/147639/50_Tea_Recipes_from_the_Duchess
9200,Karina's Last Days,6.89,Manhwa (? vols),Nov 2021 -,https://myanimelist.net/manga/148268/Karinas_Last_Days
9201,Isekai Kenkokuki,6.89,Manga (? vols),Sep 2017 -,https://myanimelist.net/manga/109696/Isekai_Kenkokuki
9202,Tatta Hitori no Kimi to 70-oku no Shinigami,6.89,Manga (3 vols),Oct 2017 - Jun 2019,https://myanimelist.net/manga/110517/Tatta_Hitori_no_Kimi_to_70-oku_no_Shinigami
9203,Momohone: Toumori Miyoshi x Tekkotsu Saro Tanpenshuu,6.89,Manga (1 vols),Oct 2012 - Jun 2013,https://myanimelist.net/manga/111114/Momohone__Toumori_Miyoshi_x_Tekkotsu_Saro_Tanpenshuu
9204,Nega-kun to Posi-chan,6.90,Manga (4 vols),Aug 2019 - Oct 2021,https://myanimelist.net/manga/121354/Nega-kun_to_Posi-chan
9205,Mahoutsukai Reimeiki,6.89,Manga (? vols),Jul 2019 -,https://myanimelist.net/manga/121489/Mahoutsukai_Reimeiki
9206,Isekai de Tochi wo Katte Noujou wo Tsukurou,6.89,Manga (? vols),Dec 2018 -,https://myanimelist.net/manga/121491/Isekai_de_Tochi_wo_Katte_Noujou_wo_Tsukurou
9207,Kareshi ni Donbiki saretai Minamoto-san,6.89,One-shot (? vols),Aug 2019 - Aug 2019,https://myanimelist.net/manga/121588/Kareshi_ni_Donbiki_saretai_Minamoto-san
9208,Kimi to Aoi Haru no Hajimari,6.89,Manga (? vols),Jul 2019 -,https://myanimelist.net/manga/121708/Kimi_to_Aoi_Haru_no_Hajimari
9209,Yoiko-kei Furyou Succubus Saki-chan,6.89,Manga (2 vols),Oct 2018 - Sep 2019,https://myanimelist.net/manga/121789/Yoiko-kei_Furyou_Succubus_Saki-chan
9210,Made in Honey,6.89,Manga (6 vols),Mar 2017 - Oct 2019,https://myanimelist.net/manga/124443/Made_in_Honey
9211,Bleach: Beginning of the Revive of Tomorrow,6.89,Light Novel (? vols),Aug 2015 - Aug 2015,https://myanimelist.net/manga/124937/Bleach__Beginning_of_the_Revive_of_Tomorrow
9212,Iwakutsuki Bukken no Yakuro-san,6.89,Manga (1 vols),Mar 2019 - Mar 2019,https://myanimelist.net/manga/125389/Iwakutsuki_Bukken_no_Yakuro-san
9213,Fukinoshita-san wa Se ga Chiisai,6.89,Manga (3 vols),Nov 2019 - Sep 2020,https://myanimelist.net/manga/125466/Fukinoshita-san_wa_Se_ga_Chiisai
9214,Utakata no Minato,6.89,Manga (4 vols),Mar 2020 - Jan 2022,https://myanimelist.net/manga/126813/Utakata_no_Minato
