Rank,Title,Score,Episodes,Airing
352,Yoru wa Mijikashi Arukeyo Otome,8.19,Movie (1 eps),Apr 2017 - Apr 2017
353,Shokugeki no Souma,8.18,TV (24 eps),Apr 2015 - Sep 2015
354,Aria the Natural,8.18,TV (26 eps),Apr 2006 - Sep 2006
355,Black Lagoon: The Second Barrage,8.18,TV (12 eps),Oct 2006 - Dec 2006
356,Dr. Stone: Stone Wars,8.18,TV (11 eps),Jan 2021 - Mar 2021
357,Eiga Daisuki Pompo-san (Movie),8.18,Movie (1 eps),Jun 2021 - Jun 2021
358,Girls & Panzer: Saishuushou Part 3,8.18,Movie (1 eps),Mar 2021 - Mar 2021
359,Detective Conan Movie 20: The Darkest Nightmare,8.17,Movie (1 eps),Apr 2016 - Apr 2016
360,Digimon Adventure: Last Evolution Kizuna,8.17,Movie (1 eps),Feb 2020 - Feb 2020
361,Haikyuu!! Movie 4: Concept no Tatakai,8.17,Movie (1 eps),Sep 2017 - Sep 2017
362,K-On!!,8.17,TV (26 eps),Apr 2010 - Sep 2010
363,Kaguya-sama wa Kokurasetai: Ultra Romantic Teaser PV - Ishigami Yuu wa Kataritai,8.17,ONA (1 eps),Oct 2021 - Oct 2021
364,Major: Message,8.17,OVA (1 eps),Dec 2010 - Dec 2010
365,Noragami Aragoto,8.17,TV (13 eps),Oct 2015 - Dec 2015
366,Ouran Koukou Host Club,8.16,TV (26 eps),Apr 2006 - Sep 2006
367,Tengen Toppa Gurren Lagann Movie 1: Gurren-hen,8.16,Movie (1 eps),Sep 2008 - Sep 2008
368,Working!!!: Lord of the Takanashi,8.16,Special (1 eps),Mar 2016 - Mar 2016
369,Akira,8.16,Movie (1 eps),Jul 1988 - Jul 1988
370,Death Parade,8.16,TV (12 eps),Jan 2015 - Mar 2015
371,Detective Conan,8.16,TV (? eps),Jan 1996 -
372,Hinamatsuri (TV),8.16,TV (12 eps),Apr 2018 - Jun 2018
373,Komi-san wa, Comyushou desu. 2nd Season,8.16,TV (12 eps),Apr 2022 - Jun 2022
374,Kyoukai no Kanata Movie 2: I'll Be Here - Mirai-hen,8.16,Movie (1 eps),Apr 2015 - Apr 2015
375,Love Live! Superstar!! 2nd Season,8.16,TV (? eps),Jul 2022 -
376,Boku no Hero Academia 2nd Season,8.15,TV (25 eps),Apr 2017 - Sep 2017
377,Cardcaptor Sakura,8.15,TV (70 eps),Apr 1998 - Mar 2000
378,Dragon Ball Z,8.15,TV (291 eps),Apr 1989 - Jan 1996
379,Gankutsuou,8.15,TV (24 eps),Oct 2004 - Mar 2005
380,Given Movie,8.15,Movie (1 eps),Aug 2020 - Aug 2020
381,Given: Uragawa no Sonzai,8.15,OVA (1 eps),Dec 2021 - Dec 2021
382,Initial D Fourth Stage,8.15,TV (24 eps),Apr 2004 - Feb 2006
383,Kaiba,8.15,TV (12 eps),Apr 2008 - Jul 2008
384,Lupin III: Cagliostro no Shiro,8.15,Movie (1 eps),Dec 1979 - Dec 1979
385,Lupin III: Part 5,8.15,TV (24 eps),Apr 2018 - Sep 2018
386,Nisemonogatari,8.15,TV (11 eps),Jan 2012 - Mar 2012
387,Nodame Cantabile: Paris-hen,8.15,TV (11 eps),Oct 2008 - Dec 2008
388,Non Non Biyori Nonstop: Bukatsu wo Ganbatta,8.15,OVA (1 eps),Mar 2022 - Mar 2022
389,One Piece Film: Z,8.15,Movie (1 eps),Dec 2012 - Dec 2012
390,Yuukoku no Moriarty,8.15,TV (11 eps),Oct 2020 - Dec 2020
391,Made in Abyss Movie 1: Tabidachi no Yoake,8.14,Movie (1 eps),Jan 2019 - Jan 2019
392,Natsume Yuujinchou: Ishi Okoshi to Ayashiki Raihousha,8.14,Movie (1 eps),Jan 2021 - Jan 2021
393,Seirei no Moribito,8.14,TV (26 eps),Apr 2007 - Sep 2007
394,Dragon Ball Super: Broly,8.14,Movie (1 eps),Dec 2018 - Dec 2018
395,Eizouken ni wa Te wo Dasu na!,8.14,TV (12 eps),Jan 2020 - Mar 2020
396,IDOLiSH7: Second Beat!,8.14,TV (15 eps),Apr 2020 - Dec 2020
397,Initial D Second Stage,8.14,TV (13 eps),Oct 1999 - Jan 2000
398,Kamisama Hajimemashita: Kamisama, Shiawase ni Naru,8.14,OVA (1 eps),Dec 2016 - Dec 2016
399,Katekyo Hitman Reborn!,8.14,TV (203 eps),Oct 2006 - Sep 2010
400,Ginga Eiyuu Densetsu Gaiden,8.13,OVA (24 eps),Feb 1998 - Sep 1998
401,Ginga Eiyuu Densetsu: Die Neue These - Seiran 2,8.13,Movie (4 eps),Oct 2019 - Oct 2019
402,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 2nd Season,8.13,TV (12 eps),Apr 2020 - Jun 2020
403,Interstella5555: The 5tory of The 5ecret 5tar 5ystem,8.13,Music (1 eps),Dec 2003 - Dec 2003
404,Mahou Shoujo Lyrical Nanoha: The Movie 2nd A's,8.13,Movie (1 eps),Jul 2012 - Jul 2012
405,One Piece: Episode of Nami - Koukaishi no Namida to Nakama no Kizuna,8.13,Special (1 eps),Aug 2012 - Aug 2012
406,Princess Tutu,8.13,TV (38 eps),Aug 2002 - May 2003
407,Tensei shitara Slime Datta Ken,8.13,TV (24 eps),Oct 2018 - Mar 2019
408,Toki wo Kakeru Shoujo,8.13,Movie (1 eps),Jul 2006 - Jul 2006
409,Tonikaku Kawaii: SNS,8.13,OVA (1 eps),Aug 2021 - Aug 2021
410,Mahoutsukai no Yome: Hoshi Matsu Hito,8.12,OVA (3 eps),Sep 2016 - Sep 2017
411,Mo Dao Zu Shi Q,8.12,ONA (30 eps),Jul 2020 - Jan 2021
412,Mobile Suit Gundam 00,8.12,TV (25 eps),Oct 2007 - Mar 2008
413,Mobile Suit Gundam: The Origin - Advent of the Red Comet,8.12,TV (13 eps),Apr 2019 - Aug 2019
414,Tamayura: Sotsugyou Shashin Part 4 - Ashita,8.12,Movie (1 eps),Apr 2016 - Apr 2016
415,Black Clover,8.12,TV (170 eps),Oct 2017 - Mar 2021
416,Chuunibyou demo Koi ga Shitai! Movie: Take On Me,8.12,Movie (1 eps),Jan 2018 - Jan 2018
417,Detective Conan Movie 05: Countdown to Heaven,8.12,Movie (1 eps),Apr 2001 - Apr 2001
418,Detective Conan Movie 14: The Lost Ship in the Sky,8.12,Movie (1 eps),Apr 2010 - Apr 2010
419,Detroit Metal City,8.12,OVA (12 eps),Aug 2008 - Oct 2008
420,Durarara!!,8.12,TV (24 eps),Jan 2010 - Jun 2010
421,Fullmetal Alchemist,8.12,TV (51 eps),Oct 2003 - Oct 2004
