Rank,Title,Score,Episodes,Airing
7907,Yu☆Gi☆Oh! Zexal Second: Iza! Saishuu Kessen e!! Special,6.23,Special (1 eps),Dec 2013 - Dec 2013
7908,Yu☆Gi☆Oh! Zexal Second: Midokoro Tenkomori Special,6.23,Special (1 eps),Dec 2012 - Dec 2012
7909,21 Emon Uchuu ike! Hadashi no Princess,6.23,Movie (1 eps),Mar 1992 - Mar 1992
7910,A lot of life,6.23,Music (1 eps),Jul 2020 - Jul 2020
7911,Air Recap,6.23,Special (1 eps),Apr 2005 - Apr 2005
7912,Akikan!: Kan Ippatsu!? Onsen Panic,6.23,OVA (1 eps),Oct 2009 - Oct 2009
7913,Anata no Koe,6.23,Music (1 eps),Oct 2017 - Oct 2017
7914,Appaga Piryohae,6.23,Movie (1 eps),2005 - 2005
7915,Barbapapa,6.23,TV (45 eps),Oct 1974 - Sep 1975
7916,Boku wa Imouto ni Koi wo Suru,6.23,OVA (1 eps),May 2005 - May 2005
7917,Buddy Go!,6.23,Special (3 eps),Apr 2016 - Apr 2016
7918,Captain (TV),6.23,TV (26 eps),Jan 1983 - Jul 1983
7919,ChäoS;Child Episode 0,6.23,Special (1 eps),Jan 2017 - Jan 2017
7920,Chuumon no Ooi Ryouriten (1991),6.23,Movie (1 eps),1991 - 1991
7921,Cyborg 009: Call of Justice 1,6.23,Movie (1 eps),Nov 2016 - Nov 2016
7922,Dear Brave,6.23,Music (1 eps),Nov 2015 - Nov 2015
7923,Deep Blue Song,6.23,Music (1 eps),Aug 2017 - Aug 2017
7924,Domo TV,6.23,TV (26 eps),2008 - 2008
7925,Doraemon Anniversary 25,6.23,Movie (1 eps),Mar 2004 - Mar 2004
7926,Dr. Slump Movie 03: Arale-chan Hoyoyo! Sekai Isshuu Dai Race,6.23,Movie (1 eps),Mar 1983 - Mar 1983
7927,DS Anime Soushuuhen '98,6.23,OVA (1 eps),1998 - 1998
7928,Egao no Orquesta!,6.23,Music (1 eps),Mar 2017 - Mar 2017
7929,Genmu Senki Leda,6.23,OVA (1 eps),Mar 1985 - Mar 1985
7930,Godzilla 3: Hoshi wo Kuu Mono,6.23,Movie (1 eps),Nov 2018 - Nov 2018
7931,Gregory Horror Show: The Last Train,6.23,TV (26 eps),Oct 2000 - Mar 2001
7932,Heibai Wushang,6.23,ONA (12 eps),Jul 2015 - Feb 2016
7933,Ippatsu Kiki Musume,6.23,TV (16 eps),Oct 1999 - Oct 1999
7934,Jungle wa Itsumo Hare nochi Guu: Eizou Tokuten - Maboroshi no Pilot Film,6.23,Special (1 eps),Dec 2002 - Dec 2002
7935,Kikou Keisatsu Metal Jack,6.23,TV (37 eps),Apr 1991 - Dec 1991
7936,Kinnikuman: Kessen! Shichinin no Choujin tai Uchuu Nobushi,6.23,Special (1 eps),Jul 1984 - Jul 1984
7937,Kotoura-san: Haruka no Heya,6.23,ONA (6 eps),Dec 2012 - Jan 2013
7938,Koukaku Kidoutai Arise: Ghost in the Shell - Logicoma Specials,6.23,Special (4 eps),Jul 2013 - Sep 2014
7939,Live Beyond!!,6.23,Music (1 eps),Apr 2021 - Apr 2021
7940,Look at Me Only,6.23,Movie (1 eps),2016 - 2016
7941,009-1,6.22,TV (12 eps),Oct 2006 - Dec 2006
7942,A-Ko The Versus,6.22,OVA (2 eps),Jul 1990 - Aug 1990
7943,Black Jack: Dr. Pinoko no Mori no Bouken,6.22,Movie (1 eps),Dec 2005 - Dec 2005
7944,Blade,6.22,TV (12 eps),Jul 2011 - Sep 2011
7945,Blade Runner: Black Lotus,6.22,TV (13 eps),Nov 2021 - Feb 2022
7946,Blue Gender: The Warrior,6.22,Movie (1 eps),Nov 2002 - Nov 2002
7947,Bokura Mada Underground (2022),6.22,Music (1 eps),Mar 2022 - Mar 2022
7948,Catman Series II,6.22,ONA (8 eps),2002 - 2002
7949,Choujuu Kishin Dancougar: Ushinawareta Mono-tachi e no Requiem,6.22,OVA (1 eps),Apr 1986 - Apr 1986
7950,Dennou Coil Recaps,6.22,Special (2 eps),Aug 2007 - Nov 2007
7951,Dream Hunter Rem,6.22,OVA (4 eps),Dec 1985 - Feb 1987
